s_id,s_search,p_title,p_author,p_award,p_abstract,p_search
163,Supply chains|| Sustainability|| Purchasing,1|Sustained Competitive Advantage through Green Supply Chain Management Practices: An NRBV Approach,"1|Erlinda Nusron Yunus|Southern Illinois U. Carbondale||2|Michael D Michalisin|Pennsylvania State U., Worthington-Scranton||",,"Supply chain management (SCM) is playing a more central role in helping firms gain and sustain a competitive advantage in todays increasingly demanding business landscape. One of the demands confronting firms and their supply chain members is the deterioration of the earths biosphere and pace at which society is consuming the planets finite resources.  As a result, stakeholders are putting intense pressure on firms to conduct business in ways that promote environmental sustainability.  In todays SCM-intensive business climate, the ability of firms to offer eco-friendly goods and services and do so in environmentally sustainable ways will require the cooperation of the firms supply chain partners, whose requisite activities in generating the needed supplies can significantly affect the cumulative environmental footprint in developing the firms final product.  As a result, there is a growing pressure for firms to integrate more environmentally sound practices into their supply chain activities. Using the logic embodied in the Natural-Resource-Based View (NRBV) of the firm, this paper identifies the types of key resources and capabilities underlying green supply chain management (GSCM) practices for implementing pollution prevention, product stewardship, and sustainable development strategies and then demonstrates why they are capable of possessing the characteristics of strategic assets and distinctive competencies, respectively, and thus sources of sustainable competitive advantage.",natural-resource-based view| green supply chain management| sustained competitive advantage
163,Supply chains|| Sustainability|| Purchasing,2|Environmental PurchasingCurrent Themes & Directions for Theoretical Development,1|Monique L. Ueltschy Murfield|U. of Tennessee||2|Wendy L Tate|U. of Tennessee||,,"This research reflects on the literature in green supply chain management, focusing on environmental purchasing.  Three main objectives are addressed: organize the environmental purchasing literature through an assessment of common and unique themes; identify missing themes and opportunities for future research, and suggest new directions for theoretical development. The identified themes across the environmental purchasing research are internal and external integration, risk mitigation, and performance measurement. This paper concentrates on two major gaps to be addressed in future environmental purchasing research: development of environmental performance indicators for supplier environmental performance management, and underdeveloped theory in environmental purchasing research.",environmental purchasing| environmental strategy| supply chain management
163,Supply chains|| Sustainability|| Purchasing,3|Developing a Measure for the Capability of 'Sustainable Supplier Risk Management',1|Jorg H. Grimm|U. of St. Gallen||2|Joerg S. Hofstetter|U. of St. Gallen||3|Juliane Rothig|U. of St. Gallen||,,"Public interest on firms' business practices in respect to society and the environment has motivated firms to develop individual statements about their corporate sustainability standards. These statements communicate to the firm's stakeholders that the creation of its products and services remained within the limits of its self-defined sustainability standards.Most firms procure a substantial portion of their value added from third parties, like suppliers, sub-suppliers, or logistics service providers, which are out of the firm's direct control. Nevertheless, external stakeholders such as NGOs, media and consumers hold the focal firm responsible for all practices involved in the making of the product. Suppliers and sub-suppliers not complying with the firm's sustainability standards may damage the firm's reputation, causing considerable revenue losses. However, firm's resources to control their (sub-)suppliers' sustainability compliance are limited.Recent research highlighted the importance of a 'sustainable supplier risk management capability' to enable efficient usage of limited resources by means of identifying, assessing, and controlling sustainability-related risks within the value chain - and the corresponding alignment of compliance management activities such as supplier assessment, development and monitoring.In this paper, we propose a measurement instrument for firm's 'sustainable supplier risk management' capability. It combines the results from a literature review, semi-structured interviews, and two roundtable discussions with academic and industry experts. The proposed items may be tested statistically in the future to serve as basis for quantitative research.",risk management| sustainability| value chains
164,Cleantech|| Regulation|| Investments,1|Deregulation and Investment in Green Technologies: Evidence from Investor-Owned Electric Utilities,1|Eun-Hee Kim|George Washington U.||,1|William H. Newman Award Nominee||,"Lifting economic regulation that guarantees a fair rate-of-return drastically changes the competitive environment of firms. Incumbents may respond to this change by pursuing either cost-leadership or differentiation, e.g. investment in green technology. Using data on US investor-owned electric utility companies from 1992 to 2008, this paper finds that, on average, wholesale electricity deregulation is associated with lower probability of entry into the renewable generation business by incumbents whereas retail electricity deregulation is not significantly related either to entry or to increases in renewables over time. It appears that wholesale deregulation provides greater cost-reducing incentives than retail deregulation. Firms' different responses to wholesale vs. retail deregulation even within the realm of rate-of-return regulation suggest that deregulation might be composed of heterogeneous elements and involve more complexity than previously assumed. Also, the finding that wholesale deregulation has a negative impact on entry but not on changes over time suggests that the effects of deregulation on venturing into a new, although related, business area vs. continuing existing business lines might be different.",deregulation| firm behavior| renewables
164,Cleantech|| Regulation|| Investments,2|Regulatory Externalities as a Driver of Corporate Environmental Performance,1|Adam Fremeth|Ivey School of Business||2|J Myles Shaver|U. of Minnesota||,,"We hypothesize that regulations in jurisdictions beyond where a firm operates can influence their environmental behavior (i.e., there exist regulatory externalities). Specifically, we predict that firms will be sensitive to regulations in neighboring jurisdictions and in jurisdictions where peer firms operate. By examining the use of renewable generating technologies in the US electrical utility sector between 2001 and 2006, we find evidence of regulatory externalities while controlling for firm capabilities and regulations within the jurisdictions where a firm operates. Firms adopt more renewable power generation when their peers face greater renewable power standards elsewhere. Thus in this sector we find that regulatory externalities constitute a race-to-the-top.",environmental performance| electricity| regulation
164,Cleantech|| Regulation|| Investments,3|The Impact of Global Environmental Policy on Domestic Cleantech Investment,1|Joel Malen|Carlson School of Management||,,"Recently increasing investment in firms and projects developing clean energy technologies has been supported by policy action from governments around the world. However, increasing levels of globalization raise the question of how policies in foreign countries are impacting the decisions of investors in domestic clean technology firms. Analyzing a dataset on venture capital investments to firms working on clean energy, this study finds that trade linkages to foreign countries with more supportive clean energy policy regimes supports domestic investment in clean energy firms. Thus environmental policy at the global level is found to be related to domestic ability to support the transition toward a greener economy.",environmental policy| clean energy| international investment
993,,1|The Dynamics of Popularity,1|Jerker C. Denrell|U. of Oxford||2|Balazs Kovacs|U. of Lugano||,,"What are the mechanisms that drive the rise and fall of popularity of cultural objects, phrases, names, and organizational practices? While the answer to this question interests a wide range of sociology, psychology, and management scholars, in this paper we argue that most research in these fields only give a partial answer, as they tend to focus on the rise of cultural practices but rarely analyze their abandonment; and because most research focuses on practices that are or once were popular. Through simulations and the analysis of a dataset that has previously not been used to analyze the rise and fall of cultural practices, the New York Times text archive, we show that studying abandonment and studying a whole range of cultural objects, both popular and less popular, are essential for understanding the mechanisms of the dynamics of popularity. Specifically, we demonstrate that by only focusing on objects and practices that exhibit a fashion like pattern, one can arrive at the erroneous conclusion that increases in popularity beget further increases in popularity. We show that a proper analysis of data indicates the presence of the opposite mechanism whereby rises in popularity inhibit further increase.",diffusion| fads and fashion| popularity
993,,2|Against the Norm: The Diffusion of Commercialized Science in Higher Education,1|Kelly Patterson|Cornell U.||2|W Chad Carlos|Cornell U.||,,"Organizational scholars have long been interested in the study of innovations and how they diffuse over time and space.  Much research suggests that new technologies or practices are initially adopted for technical benefits and as the new practices become commonplace, social forces propel subsequent adoption.  However, initially, the technical merit of innovations is often unclear and unproven.  Furthermore, new practices may not align with existing social expectations and in some instances may even be viewed as socially inappropriate or unacceptable.  In this study, we examine both technological and social factors influencing the spread of an innovative practiceuniversity technology commercialization.  Using data on the adoption of t technology licensing offices by top research universities in the United States, we find that early on, the likelihood of adoption is based primarily on social factors  the prestige and sub-identity of the university.  Later adoption is then tied to technical factors  the revenue potential and financial need of the university.  The results support a social approach to innovation diffusion.  Implications for existing two-stage models of diffusion are discussed.",innovation| diffusion| technology commercialization
993,,3|Institutionalization and Stock Market Effects: A Meta-Analysis of Divestiture Announcements,1|Miriam Nicole Flickinger|U. of Passau||,,"In this study, I investigate how processes of institutionalization affect the reaction of shareholders to the announcement of divestitures. Traditionally, divestiture research has adhered to the financial economics perspective of the stock market where shareholders anticipate potential economic benefits gained from an announced corporate action such as divestitures and voice the anticipation of economic gains through their reaction to the announcement. Research on the social context of divestitures has, however, lagged behind. Therefore, in this study I refer to an institutional perspective of the stock market to consider how behavioral aspects can have an influence on market effects.",divestitures| institutional theory| meta-analysis
993,,4|Politically-Contested Structural Elaboration in Corporate Governance,1|John Joseph|Duke U.||2|William Ocasio|Northwestern U.||3|Mary-Hunter Morris|Northwestern U.||,,"This study examines how changing mandates within an institutional environment and firm-specific power structures may play interactive roles in the spread of a new structure across a population of organizations.  Our theory proposes that while institutional demands may drive the dissemination of board independence, differences in socio-political factors such as the relative power of the CEO and other board insiders drive firm-level structural elaboration of institutional compliance. Using data from a sample of the largest U.S. corporations from 1981-2007, we illustrate our theory of political-contested structural elaboration by exploring the proliferation of a new board structure: the CEO-only board characterized by the CEO as the sole inside director.  The findings suggest that because institutional demands for board independence provoke shifts in the power and influence of corporate leaders, compliance in the form of CEO-only board structure adoption is not uniformly embraced among board insiders. We find that powerful CEOs are associated with its adoption, while other insiders serve as constraints.  Our study also finds that Sarbanes-Oxley did not have a uniform effect on sources of managerial power, increasing the probability that CEOs with a financial background would assume the CEO-only position and decreasing the likelihood that CFOs would remain on boards.",corporate governance| independent directors| structural elaboration
