s_id,s_search,p_title,p_author,p_award,p_abstract,p_search
1162,,1|Biocracy and the Informalization of Exploitation at Work,1|Peter Fleming|Queen Mary U. of London||,,"Drawing on the idea of bio-power from wider social theory, this paper will demonstrate how life itself (bios) is now a crucial resource enlisted by capitalism. The informal economy inside and outside the firm are critical for this new mode of exploitation. To explain this, the concept of biocracy is introduced to demonstrate how the informal subcultures, social intelligence and personal attributes of workers are currently being put to work. All that Fordism once feared is now the medium of a new form of exploitation. But as life itself is colonized in ever more expansive ways, resistance appears once again. A new political landscape has crystallized transforming the old tension between capital and labour into one between capital and life. Its manifesto is defined not by the demand for more, less or fairer work, but the end of work.",informal| power| exploitation
1162,,2|The Creative Self on Sale: Work Experiences of Store Artists,1|Nada Endrissat|Bern U. of Applied Sciences||2|Claus Noppeney|Bern U. of Applied Sciences||,,"Making art stands for ideals such as, freedom, creativity, self-expression, and emancipation. While it is often portrayed as fun, pleasure or a vocation, it is hardly ever described as labour (Abrams, 1953). Yet in todays aesthetic economy, the conception of artistic work is blurring (Bohme, 2003; Entwistle, 2002). The promise of non-alienated and free work (Marx, 1975) does not hold. Instead, a new form of labour, artistic labour, is emerging. To illustrate this point, we draw on qualitative data from ongoing research at a North American supermarket chain. We show how the making of store art turns out to be a production job: routine artwork that is instrumentalized, commoditized, and economized. In neo-liberal capitalism, so-called creative and artistic work involves many elements of traditional manufacturing labour. We discuss the similarities between artistic labour and aesthetic labour and argue that the benefit of employing artists is not only to have store art that improves sales and consumption. It also provides the supermarket chain with a greater aesthetic branding that responds to consumers alleged demand for beauty in the context of an increasingly aesthetic-driven economy (Bohme, 2003; Calkins, 1927; Postrel, 2003). Not price, but aesthetics and design create product differentiation and thus a competitive advantage. This is a manifestation of recent changes in the ideology of capitalism.",studies of work| aesthetic economy| creative work
1162,,3|Collapsing the Myth of Separate Worlds: How Organizations Shape Workers Non-Work Identities,1|Erin Marie Reid|Harvard U.||2|Lakshmi Ramarajan|Harvard U.||,,"Organizations clearly influence work identities, but their effect on non-work identities is less well understood. We propose that organizations pressure workers to encompass or delete non-work identities, workers acquiesce to or resist these pressures, and four distinct non-work identity states emerge from this dialogue. We discuss characteristics of non-work identities that influence organizations and individuals choices and the implications of our cross-level model for work identity.",work identity| multiple identities| work/non-work
1174,,1|Organizational Analysis: Paradigmatic Possibilities for Post-Paradigm Times,1|John Hassard|U. of Manchester||2|Julie Wolfram Cox|Monash U.||,,"The Burrell and Morgan (1979) model for classifying organizational research is updated through meta-theoretical definition of the major theoretical movement of recent decades  post-structuralism and more broadly postmodernism.  Defining a sociological paradigm for this movement, we argue that its organizational research can be characterised as ontologically relativist, epistemologically relationist, and methodologically reflexive; this also represents research that is frequently deconstructionist in accounting for human nature.  When this paradigm is explored further, in terms of Burrell and Morgans assumptions about the nature of society"", two research domains are charted - normative post-structural and critical post-structural.  Assessing the forms of organizational analysis practiced within these domains - and focusing on developments in Actor-Network Theory in particular - we demonstrate how post-structural and postmodern research can be classified within, rather than outside of, or after, the Burrell and Morgan model.  The paper suggests, further, that revisiting the Burrell and Morgan thesis will help researchers to comprehend relationships between theoretical assumptions, methodological approaches, and the making of research choices.  As such, it facilitates appreciation that all knowledge stands on meta-theoretical premises.",paradigms| actor-network theory| burrell & morgan
1174,,2|The BOP Discourse as Capitalist Hegemony,1|Nick Montgomery|U. of Victoria||2|AnaMaria Peredo|U. of Victoria||3|Elly Carlson|U. of Victoria||,1|Best Paper on International Business||2|Carolyn Dexter Award Nominee||,"This paper develops a critical analysis of the Base of the Pyramid (BOP) discourse, arguing that it reinforces capitalist hegemony and marginalizes economic alternatives.  We review the central arguments and assumptions of BOP proponents, arguing that they homogenize poor people and obscure alternatives to capitalism.  Using the concepts of hegemony and performativity, we analyze the politics of language and representation in the BOP discourse, examining the ways in which the BOP discourse conceives of poor people as self-interested consumers and producers, in an effort to incorporate them into global capitalism.  Drawing on theories from postcolonialism, feminism, and post-structuralism, we develop an analysis of the ways in which the BOP discourse obscures non-capitalist alternatives and resistance to capitalism.  We show how these alternatives, when they are discussed at all, are pathologized and conceived as poverty traps that victimize poor people.",bottom of the pyramid| poverty| alternative economy
1174,,"3|Strawmen and Stereotypes: Haystacks, History, and Weber in Management Historiography","1|Terrance G. Weatherbee|Acadia U.||2|Gabrielle Durepos|St. Francis Xavier U.||3|Albert J. Mills|Saint Mary's U.||4|Christopher Michael Hartt|Saint Mary's U., Canada||",,"A conceptualization of history as relational is first described and then used to analyze a selected theme in the historiography of management and organization studies.  Drawing upon historical representations of Weber found in journals, citation databases, and over five-hundred textbooks, we trace the representation of both Weber as a scholar and Webers work from the oldest locatable citation to the present.  A typology of the representational treatment of Weber and his work over the last hundred years is then outlined.  The historical implications of stereotypical or strawman versions of Weber and his work in management historiography literature are then discussed.",historiography| management| weber
1175,,1|The Emotional Turn in Higher Education: A Psychoanalytic Contribution,1|Sarah Elaine Gilmore|U. of Portsmouth||2|Valerie Anderson|U. of Portsmouth||,,"This article contributes to contemporary debates about the significance of emotions within Higher Education (HE): the informal within the formal. Using a psychoanalytic lens  one that so far has been neglected in portrayals of emotional well-being within educational practice - we analyse the ways by which pedagogic change can result in heightened student anxieties and the consequences of this for student learning. We argue that anxiety and tension are essential for learning; the anxiety associated with learning can stimulate meaningful and reflexive outcomes but learning inaction (Vince, 2008) is also possible. This has important implications for teacher education and academic formation processes. The study shows the negative consequences for effective educational practice if tutors are unable to provide a sufficient holding environment; or containment of anxieties arising from the teaching and learning experience  especially when these become too hard for some students to contain.",emotion| psychoanalysis| higher education
1175,,2|Funding International Student Support Services: Tension and Power in the University (WITHDRAWN),1|Chris Nyland|Monash U.||2|Helen Forbes-Mewett|Monash U.||,,"Drawing on Bourdieus notions of fields of power and disciplinary hierarchy, this paper aims to contribute further understanding of allocation of funds for international student support services. We present a case study that explores why an Australian university with many thousands of full-fee paying international students was believed not to provide adequate funds for international student support services. Interviews with 50 professional and academic personnel, including senior university management reveal an existing tension between competing claimants for university funds. The study suggests that the need to build and sustain research reputation was associated with the underfunding of support services and that those arguing for more student support resources tended to have little bargaining power. These circumstances were believed to underpin the existing tension and power dynamics.",international student security| university budgeting| student support services
1175,,3|Enlisting in the Global War for Talent: Generation Now and the Production of Young Professionals,"1|Emily T. Porschitz|Keene State College||2|Linda Smircich|U. of Massachusetts, Amherst||3|Marta B. Calas|U. of Massachusetts, Amherst||",,"In this paper, we uncover important implications of the war for talent by studying it on the ground level in university classrooms. Ethnographic research shows how students were enlisted by university administrators to develop marketing plans for  promoting their region to the best and brightest young professionals. As part of the project, the students themselves were also targeted as future young professionals and judged by local corporate and government leaders on their merits as potential employees; those from more the more prestigious university were judged favorably while others, from lower-ranked colleges with high populations of first-generation college students, were not. Institutional ethnographic methods allowed us to connect the students classroom activities to the global war for talent and activities of regional economic development. The universitys paradoxical role in the war for talent is highlighted: while universities ostensibly provide the education necessary to allow future knowledge workers to participate in the meritocratic talent war, they also exacerbate existing class inequalities by creating new means for differentiating future winners from losers. Implications for university education and management scholarship are discussed.",career| university| ethnography
1374,Philosophy of Science|| Research Design|| Quantitative Research,1|Accommodational Plasticity in Organizational Science: Impact of Hypothesis Framing on Effect Size,1|Frank A. Bosco|Marshall U.||2|James G Field|Marshall U.||3|Charles A. Pierce|U. of Memphis||,,"Accommodational plasticity represents research environment characteristics that facilitate a posteriori hypothesizing, or building accommodating hypotheses after observations are made rather than before. Philosophers of science argue that a posteriori (accommodated) hypotheses constrict theoretical progress through increased levels of overfitting and overly complex theories. As a proxy, we conducted a content analysis to investigate the extent to which research findings vary as a function of how they are hypothesized to be related in published reports. Specifically, we analyzed 268 published effect sizes of eight common bivariate relations reported in Journal of Applied Psychology and Personnel Psychology between 1980 and 2010. We extracted information on the variable pairs hypothesis frames within each paper (e.g., no hypothesis; main effect; incremental variance), and we conducted a series of meta-analyses to investigate the relation between hypothesis framing and reported effect size. Within the eight relations, we observed that mean correlations were substantially larger when the variable pairs were hypothesized to be related (r = .20) compared to when the pairs were not hypothesized to be related (r = .11). We discuss implications for interpreting research findings, meta-analyses, and theoretical progress in organizational science.",philosophy of science| meta-analysis| content analysis
